Booking_ID,Customer_ID,Professional_ID,City,Service_Category,Booking_Date,Time_Slot,Service_Price,Distance_km,Response_Time_Min,Service_Duration_Min,Booking_Status,Cancellation_Reason,Customer_Rating,Professional_Rating,Customer_Type,Payment_Method,Booking_Month,Booking_Day,Is_Weekend,Completed_Flag,Cancelled_Flag
B00001,C8270,P330,Delhi,Electrician,2026-01-01 00:00:00.000000,4-6 PM,636,3.29,11.3,67,Completed,None,4.3,4.3,New,Debit Card,1,Thursday,False,1,0
B00002,C1860,P290,Pune,AC Repair,2026-01-01 00:10:22.104884,12-2 PM,1027,6.28,9.8,131,Completed,None,4.9,4.7,New,UPI,1,Thursday,False,1,0
B00003,C6390,P941,Hyderabad,Appliance Repair,2026-01-01 00:20:44.209768,4-6 PM,1029,8.32,14.4,172,Completed,None,4.3,4.9,New,UPI,1,Thursday,False,1,0
B00004,C6191,P756,Pune,Cleaning,2026-01-01 00:31:06.314652,12-2 PM,740,1.27,4.9,146,Completed,None,4.7,4.0,Returning,UPI,1,Thursday,False,1,0
B00005,C6734,P712,Pune,Salon,2026-01-01 00:41:28.419536,8-10 AM,760,7.15,8.3,51,Completed,None,4.1,4.6,Returning,UPI,1,Thursday,False,1,0
B00006,C7265,P690,Nagpur,Salon,2026-01-01 00:51:50.524420,2-4 PM,1027,5.04,7.0,82,Completed,None,4.4,4.9,Returning,Cash,1,Thursday,False,1,0
B00007,C1466,P607,Nagpur,Appliance Repair,2026-01-01 01:02:12.629305,6-8 PM,1082,5.18,10.8,176,Cancelled,Slot Not Available,,4.3,Returning,UPI,1,Thursday,False,0,1
B00008,C5426,P556,Pune,Salon,2026-01-01 01:12:34.734189,8-10 PM,841,2.81,14.5,104,Completed,None,4.4,4.6,New,UPI,1,Thursday,False,1,0
B00009,C6578,P771,Hyderabad,Salon,2026-01-01 01:22:56.839073,4-6 PM,842,4.46,12.1,96,Completed,None,4.2,5.0,Returning,UPI,1,Thursday,False,1,0
B00010,C9322,P354,Nagpur,Electrician,2026-01-01 01:33:18.943957,6-8 PM,587,7.25,14.5,101,Completed,None,4.5,4.9,Returning,Credit Card,1,Thursday,False,1,0
B00011,C2685,P378,Pune,Appliance Repair,2026-01-01 01:43:41.048841,4-6 PM,869,1.04,10.4,118,Completed,None,4.8,4.7,New,UPI,1,Thursday,False,1,0
B00012,C1769,P799,Pune,Appliance Repair,2026-01-01 01:54:03.153726,6-8 PM,944,5.11,14.8,79,Completed,None,4.4,5.0,Returning,Credit Card,1,Thursday,False,1,0
B00013,C7949,P821,Bengaluru,AC Repair,2026-01-01 02:04:25.258610,10-12 PM,1328,5.55,12.0,173,Completed,None,5.0,4.0,Returning,UPI,1,Thursday,False,1,0
B00014,C3433,P852,Delhi,Plumbing,2026-01-01 02:14:47.363494,2-4 PM,796,9.83,6.8,84,Completed,None,4.6,4.2,Returning,UPI,1,Thursday,False,1,0
B00015,C6311,P155,Delhi,Salon,2026-01-01 02:25:09.468378,12-2 PM,1086,2.2,9.6,109,Completed,None,4.6,3.8,Returning,UPI,1,Thursday,False,1,0
B00016,C6051,P748,Nagpur,Plumbing,2026-01-01 02:35:31.573262,8-10 AM,736,7.82,8.7,116,Completed,None,4.9,4.6,Returning,Debit Card,1,Thursday,False,1,0
B00017,C7420,P205,Bengaluru,Salon,2026-01-01 02:45:53.678147,6-8 PM,908,11.54,13.9,92,Completed,None,4.7,4.5,Returning,Debit Card,1,Thursday,False,1,0
B00018,C2184,P680,Bengaluru,Electrician,2026-01-01 02:56:15.783031,10-12 PM,539,6.45,8.0,77,Completed,None,4.1,5.0,Returning,UPI,1,Thursday,False,1,0
B00019,C5555,P801,Bengaluru,Salon,2026-01-01 03:06:37.887915,12-2 PM,808,1.67,7.4,87,Completed,None,4.8,4.5,New,Debit Card,1,Thursday,False,1,0
B00020,C4385,P291,Mumbai,Appliance Repair,2026-01-01 03:16:59.992799,6-8 PM,979,8.66,14.8,82,Completed,None,4.2,4.9,Returning,Debit Card,1,Thursday,False,1,0
B00021,C7396,P377,Delhi,Cleaning,2026-01-01 03:27:22.097683,6-8 PM,773,4.71,14.2,102,Completed,None,4.5,4.4,Returning,Debit Card,1,Thursday,False,1,0
B00022,C9666,P643,Mumbai,Plumbing,2026-01-01 03:37:44.202568,4-6 PM,648,6.28,11.4,63,Completed,None,4.6,4.2,New,UPI,1,Thursday,False,1,0
B00023,C3558,P274,Pune,AC Repair,2026-01-01 03:48:06.307452,12-2 PM,1158,6.68,15.8,138,Cancelled,Long Response Time,,4.4,New,Cash,1,Thursday,False,0,1
B00024,C8849,P869,Mumbai,Salon,2026-01-01 03:58:28.412336,4-6 PM,1148,1.5,11.4,112,Completed,None,3.8,4.3,Returning,Debit Card,1,Thursday,False,1,0
B00025,C3047,P734,Mumbai,Cleaning,2026-01-01 04:08:50.517220,8-10 AM,525,1.71,11.3,65,Completed,None,4.3,4.2,Returning,Credit Card,1,Thursday,False,1,0
B00026,C3747,P184,Pune,Cleaning,2026-01-01 04:19:12.622104,6-8 PM,762,2.21,10.0,130,Completed,None,4.4,4.9,New,UPI,1,Thursday,False,1,0
B00027,C1189,P827,Bengaluru,Appliance Repair,2026-01-01 04:29:34.726989,12-2 PM,758,3.92,2.7,150,Completed,None,5.0,4.2,Returning,Credit Card,1,Thursday,False,1,0
B00028,C3734,P315,Hyderabad,Appliance Repair,2026-01-01 04:39:56.831873,2-4 PM,953,1.94,14.7,145,Cancelled,Price Too High,,4.7,New,Credit Card,1,Thursday,False,0,1
B00029,C4005,P113,Bengaluru,Cleaning,2026-01-01 04:50:18.936757,8-10 AM,588,1.59,2.3,61,Completed,None,4.4,4.3,Returning,Cash,1,Thursday,False,1,0
B00030,C5658,P136,Mumbai,Salon,2026-01-01 05:00:41.041641,6-8 PM,884,2.37,12.9,51,Rescheduled,None,,4.1,New,UPI,1,Thursday,False,0,0
B00031,C2899,P126,Delhi,AC Repair,2026-01-01 05:11:03.146525,8-10 PM,1186,1.96,8.5,64,Completed,None,4.7,4.9,Returning,Credit Card,1,Thursday,False,1,0
B00032,C8734,P763,Delhi,AC Repair,2026-01-01 05:21:25.251410,2-4 PM,1071,2.4,8.3,91,Completed,None,4.6,4.1,Returning,Credit Card,1,Thursday,False,1,0
B00033,C2267,P675,Mumbai,Salon,2026-01-01 05:31:47.356294,8-10 AM,803,2.17,9.6,52,Completed,None,4.8,5.0,Returning,UPI,1,Thursday,False,1,0
B00034,C2528,P169,Bengaluru,Appliance Repair,2026-01-01 05:42:09.461178,8-10 PM,890,1.27,7.9,115,Completed,None,5.0,4.4,Returning,UPI,1,Thursday,False,1,0
B00035,C4556,P253,Delhi,Appliance Repair,2026-01-01 05:52:31.566062,2-4 PM,1280,2.28,11.3,180,Completed,None,4.5,5.0,Returning,UPI,1,Thursday,False,1,0
B00036,C4890,P537,Pune,Cleaning,2026-01-01 06:02:53.670946,8-10 AM,543,3.82,10.3,116,Completed,None,4.7,4.4,New,UPI,1,Thursday,False,1,0
B00037,C9838,P864,Mumbai,Plumbing,2026-01-01 06:13:15.775831,10-12 PM,701,2.47,4.2,68,Completed,None,4.3,4.5,Returning,UPI,1,Thursday,False,1,0
B00038,C6393,P370,Nagpur,Cleaning,2026-01-01 06:23:37.880715,10-12 PM,446,9.51,9.0,140,Cancelled,Distance Too Far,,5.0,New,UPI,1,Thursday,False,0,1
B00039,C9792,P640,Hyderabad,Plumbing,2026-01-01 06:33:59.985599,10-12 PM,624,1.54,11.8,46,Completed,None,4.9,4.4,Returning,UPI,1,Thursday,False,1,0
B00040,C9433,P173,Nagpur,Appliance Repair,2026-01-01 06:44:22.090483,10-12 PM,1150,2.6,12.5,121,Cancelled,Long Response Time,,4.4,Returning,UPI,1,Thursday,False,0,1
B00041,C8513,P895,Pune,Plumbing,2026-01-01 06:54:44.195367,8-10 PM,788,2.69,7.5,71,Cancelled,Slot Not Available,,4.6,Returning,UPI,1,Thursday,False,0,1
B00042,C3612,P670,Mumbai,AC Repair,2026-01-01 07:05:06.300252,10-12 PM,1195,4.33,5.7,85,Completed,None,4.9,4.9,Returning,UPI,1,Thursday,False,1,0
