Booking_ID,Professional_ID,City_x,Service_Category,Booking_Date,Time_Slot,Service_Price,Distance_km,Response_Time_Min,Service_Duration_Min,Booking_Status,Cancellation_Reason,Customer_Rating,Professional_Rating,Customer_Type,Payment_Method,Booking_Month,Booking_Day,Is_Weekend,Completed_Flag,Cancelled_Flag,City_y,Primary_Service,Experience_Years,Available_Hours_Per_Week,Professional_Base_Rating,Week,Service_Hours,Actual_Service_Hours
B00001,P0116,Delhi,Electrician,2026-01-01 00:00:00.000000,4-6 PM,636,3.29,11.3,67,Completed,,4.3,4.3,New,Debit Card,1,Thursday,False,1,0,Delhi,Electrician,5,40,4.4,2025-12-29/2026-01-04,1.1166666666666667,1.1166666666666667
B00002,P0035,Pune,AC Repair,2026-01-01 00:10:22.104884,12-2 PM,1027,6.28,9.8,131,Completed,,4.9,4.7,New,UPI,1,Thursday,False,1,0,Pune,AC Repair,4,48,4.8,2025-12-29/2026-01-04,2.183333333333333,2.183333333333333
B00003,P0143,Hyderabad,Appliance Repair,2026-01-01 00:20:44.209768,4-6 PM,1029,8.32,14.4,172,Completed,,4.3,4.9,New,UPI,1,Thursday,False,1,0,Hyderabad,Appliance Repair,1,44,4.5,2025-12-29/2026-01-04,2.8666666666666667,2.8666666666666667
B00004,P0025,Pune,Cleaning,2026-01-01 00:31:06.314652,12-2 PM,740,1.27,4.9,146,Completed,,4.7,4.0,Returning,UPI,1,Thursday,False,1,0,Pune,Cleaning,5,48,4.6,2025-12-29/2026-01-04,2.433333333333333,2.433333333333333
B00005,P0032,Pune,Salon,2026-01-01 00:41:28.419536,8-10 AM,760,7.15,8.3,51,Completed,,4.1,4.6,Returning,UPI,1,Thursday,False,1,0,Pune,Salon,3,36,4.5,2025-12-29/2026-01-04,0.85,0.85
B00006,P0006,Nagpur,Salon,2026-01-01 00:51:50.524420,2-4 PM,1027,5.04,7.0,82,Completed,,4.4,4.9,Returning,Cash,1,Thursday,False,1,0,Nagpur,Salon,2,40,4.4,2025-12-29/2026-01-04,1.3666666666666667,1.3666666666666667
B00007,P0023,Nagpur,Appliance Repair,2026-01-01 01:02:12.629305,6-8 PM,1082,5.18,10.8,176,Cancelled,Slot Not Available,,4.3,Returning,UPI,1,Thursday,False,0,1,Nagpur,Appliance Repair,9,44,4.5,2025-12-29/2026-01-04,2.933333333333333,0.0
B00008,P0031,Pune,Salon,2026-01-01 01:12:34.734189,8-10 PM,841,2.81,14.5,104,Completed,,4.4,4.6,New,UPI,1,Thursday,False,1,0,Pune,Salon,10,40,4.2,2025-12-29/2026-01-04,1.7333333333333334,1.7333333333333334
B00009,P0126,Hyderabad,Salon,2026-01-01 01:22:56.839073,4-6 PM,842,4.46,12.1,96,Completed,,4.2,5.0,Returning,UPI,1,Thursday,False,1,0,Hyderabad,Salon,4,40,4.4,2025-12-29/2026-01-04,1.6,1.6
B00010,P0018,Nagpur,Electrician,2026-01-01 01:33:18.943957,6-8 PM,587,7.25,14.5,101,Completed,,4.5,4.9,Returning,Credit Card,1,Thursday,False,1,0,Nagpur,Electrician,8,40,4.4,2025-12-29/2026-01-04,1.6833333333333333,1.6833333333333333
B00011,P0047,Pune,Appliance Repair,2026-01-01 01:43:41.048841,4-6 PM,869,1.04,10.4,118,Completed,,4.8,4.7,New,UPI,1,Thursday,False,1,0,Pune,Appliance Repair,1,36,4.4,2025-12-29/2026-01-04,1.9666666666666666,1.9666666666666666
B00012,P0047,Pune,Appliance Repair,2026-01-01 01:54:03.153726,6-8 PM,944,5.11,14.8,79,Completed,,4.4,5.0,Returning,Credit Card,1,Thursday,False,1,0,Pune,Appliance Repair,1,36,4.4,2025-12-29/2026-01-04,1.3166666666666667,1.3166666666666667
B00013,P0082,Bengaluru,AC Repair,2026-01-01 02:04:25.258610,10-12 PM,1328,5.55,12.0,173,Completed,,5.0,4.0,Returning,UPI,1,Thursday,False,1,0,Bengaluru,AC Repair,3,48,3.9,2025-12-29/2026-01-04,2.8833333333333333,2.8833333333333333
B00014,P0111,Delhi,Plumbing,2026-01-01 02:14:47.363494,2-4 PM,796,9.83,6.8,84,Completed,,4.6,4.2,Returning,UPI,1,Thursday,False,1,0,Delhi,Plumbing,5,36,4.6,2025-12-29/2026-01-04,1.4,1.4
B00015,P0101,Delhi,Salon,2026-01-01 02:25:09.468378,12-2 PM,1086,2.2,9.6,109,Completed,,4.6,3.8,Returning,UPI,1,Thursday,False,1,0,Delhi,Salon,3,44,4.3,2025-12-29/2026-01-04,1.8166666666666667,1.8166666666666667
B00016,P0013,Nagpur,Plumbing,2026-01-01 02:35:31.573262,8-10 AM,736,7.82,8.7,116,Completed,,4.9,4.6,Returning,Debit Card,1,Thursday,False,1,0,Nagpur,Plumbing,4,40,4.6,2025-12-29/2026-01-04,1.9333333333333333,1.9333333333333333
B00017,P0078,Bengaluru,Salon,2026-01-01 02:45:53.678147,6-8 PM,908,11.54,13.9,92,Completed,,4.7,4.5,Returning,Debit Card,1,Thursday,False,1,0,Bengaluru,Salon,3,40,4.4,2025-12-29/2026-01-04,1.5333333333333334,1.5333333333333334
B00018,P0092,Bengaluru,Electrician,2026-01-01 02:56:15.783031,10-12 PM,539,6.45,8.0,77,Completed,,4.1,5.0,Returning,UPI,1,Thursday,False,1,0,Bengaluru,Electrician,3,40,4.6,2025-12-29/2026-01-04,1.2833333333333334,1.2833333333333334
B00019,P0078,Bengaluru,Salon,2026-01-01 03:06:37.887915,12-2 PM,808,1.67,7.4,87,Completed,,4.8,4.5,New,Debit Card,1,Thursday,False,1,0,Bengaluru,Salon,3,40,4.4,2025-12-29/2026-01-04,1.45,1.45
B00020,P0070,Mumbai,Appliance Repair,2026-01-01 03:16:59.992799,6-8 PM,979,8.66,14.8,82,Completed,,4.2,4.9,Returning,Debit Card,1,Thursday,False,1,0,Mumbai,Appliance Repair,9,40,4.5,2025-12-29/2026-01-04,1.3666666666666667,1.3666666666666667
B00021,P0100,Delhi,Cleaning,2026-01-01 03:27:22.097683,6-8 PM,773,4.71,14.2,102,Completed,,4.5,4.4,Returning,Debit Card,1,Thursday,False,1,0,Delhi,Cleaning,2,40,4.5,2025-12-29/2026-01-04,1.7,1.7
B00022,P0064,Mumbai,Plumbing,2026-01-01 03:37:44.202568,4-6 PM,648,6.28,11.4,63,Completed,,4.6,4.2,New,UPI,1,Thursday,False,1,0,Mumbai,Plumbing,9,40,4.6,2025-12-29/2026-01-04,1.05,1.05
B00023,P0036,Pune,AC Repair,2026-01-01 03:48:06.307452,12-2 PM,1158,6.68,15.8,138,Cancelled,Long Response Time,,4.4,New,Cash,1,Thursday,False,0,1,Pune,AC Repair,2,40,4.6,2025-12-29/2026-01-04,2.3,0.0
B00024,P0053,Mumbai,Salon,2026-01-01 03:58:28.412336,4-6 PM,1148,1.5,11.4,112,Completed,,3.8,4.3,Returning,Debit Card,1,Thursday,False,1,0,Mumbai,Salon,4,48,4.7,2025-12-29/2026-01-04,1.8666666666666667,1.8666666666666667
B00025,P0051,Mumbai,Cleaning,2026-01-01 04:08:50.517220,8-10 AM,525,1.71,11.3,65,Completed,,4.3,4.2,Returning,Credit Card,1,Thursday,False,1,0,Mumbai,Cleaning,7,40,4.2,2025-12-29/2026-01-04,1.0833333333333333,1.0833333333333333
B00026,P0025,Pune,Cleaning,2026-01-01 04:19:12.622104,6-8 PM,762,2.21,10.0,130,Completed,,4.4,4.9,New,UPI,1,Thursday,False,1,0,Pune,Cleaning,5,48,4.6,2025-12-29/2026-01-04,2.1666666666666665,2.1666666666666665
B00027,P0095,Bengaluru,Appliance Repair,2026-01-01 04:29:34.726989,12-2 PM,758,3.92,2.7,150,Completed,,5.0,4.2,Returning,Credit Card,1,Thursday,False,1,0,Bengaluru,Appliance Repair,6,40,4.3,2025-12-29/2026-01-04,2.5,2.5
B00028,P0141,Hyderabad,Appliance Repair,2026-01-01 04:39:56.831873,2-4 PM,953,1.94,14.7,145,Cancelled,Price Too High,,4.7,New,Credit Card,1,Thursday,False,0,1,Hyderabad,Appliance Repair,10,36,4.0,2025-12-29/2026-01-04,2.4166666666666665,0.0
B00029,P0075,Bengaluru,Cleaning,2026-01-01 04:50:18.936757,8-10 AM,588,1.59,2.3,61,Completed,,4.4,4.3,Returning,Cash,1,Thursday,False,1,0,Bengaluru,Cleaning,6,48,4.6,2025-12-29/2026-01-04,1.0166666666666666,1.0166666666666666
B00030,P0053,Mumbai,Salon,2026-01-01 05:00:41.041641,6-8 PM,884,2.37,12.9,51,Rescheduled,,,4.1,New,UPI,1,Thursday,False,0,0,Mumbai,Salon,4,48,4.7,2025-12-29/2026-01-04,0.85,0.85
B00031,P0108,Delhi,AC Repair,2026-01-01 05:11:03.146525,8-10 PM,1186,1.96,8.5,64,Completed,,4.7,4.9,Returning,Credit Card,1,Thursday,False,1,0,Delhi,AC Repair,5,40,4.5,2025-12-29/2026-01-04,1.0666666666666667,1.0666666666666667
B00032,P0106,Delhi,AC Repair,2026-01-01 05:21:25.251410,2-4 PM,1071,2.4,8.3,91,Completed,,4.6,4.1,Returning,Credit Card,1,Thursday,False,1,0,Delhi,AC Repair,9,40,4.0,2025-12-29/2026-01-04,1.5166666666666666,1.5166666666666666
B00033,P0053,Mumbai,Salon,2026-01-01 05:31:47.356294,8-10 AM,803,2.17,9.6,52,Completed,,4.8,5.0,Returning,UPI,1,Thursday,False,1,0,Mumbai,Salon,4,48,4.7,2025-12-29/2026-01-04,0.8666666666666667,0.8666666666666667
