Professional_ID,City,Primary_Service,Experience_Years,Available_Hours_Per_Week,Professional_Base_Rating
P0001,Nagpur,Cleaning,7,44,4.5
P0002,Nagpur,Cleaning,5,40,4.2
P0003,Nagpur,Cleaning,3,36,3.9
P0004,Nagpur,Cleaning,8,44,4.3
P0005,Nagpur,Salon,6,36,4.5
P0006,Nagpur,Salon,2,40,4.4
P0007,Nagpur,Salon,5,40,4.4
P0008,Nagpur,Salon,10,36,4.3
P0009,Nagpur,AC Repair,3,40,4.4
P0010,Nagpur,AC Repair,5,40,4.5
P0011,Nagpur,AC Repair,5,40,3.9
P0012,Nagpur,AC Repair,10,36,4.7
P0013,Nagpur,Plumbing,4,40,4.6
P0014,Nagpur,Plumbing,8,36,4.8
P0015,Nagpur,Plumbing,1,40,4.1
P0016,Nagpur,Plumbing,6,40,4.7
P0017,Nagpur,Electrician,4,40,4.6
P0018,Nagpur,Electrician,8,40,4.4
P0019,Nagpur,Electrician,9,48,4.5
P0020,Nagpur,Electrician,5,40,4.6
P0021,Nagpur,Appliance Repair,9,40,4.1
P0022,Nagpur,Appliance Repair,1,36,4.4
P0023,Nagpur,Appliance Repair,9,44,4.5
P0024,Nagpur,Appliance Repair,3,44,4.6
P0025,Pune,Cleaning,5,48,4.6
P0026,Pune,Cleaning,9,40,4.5
P0027,Pune,Cleaning,2,36,4.8
P0028,Pune,Cleaning,5,44,4.1
P0029,Pune,Salon,8,40,3.9
P0030,Pune,Salon,3,44,4.7
P0031,Pune,Salon,10,40,4.2
P0032,Pune,Salon,3,36,4.5
P0033,Pune,AC Repair,7,40,4.8
P0034,Pune,AC Repair,5,40,4.5
P0035,Pune,AC Repair,4,48,4.8
P0036,Pune,AC Repair,2,40,4.6
P0037,Pune,Plumbing,9,36,4.0
P0038,Pune,Plumbing,4,44,4.3
P0039,Pune,Plumbing,10,36,4.6
P0040,Pune,Plumbing,1,40,4.3
P0041,Pune,Electrician,9,44,3.7
P0042,Pune,Electrician,5,40,4.5
P0043,Pune,Electrician,10,40,4.4
P0044,Pune,Electrician,8,44,4.5
P0045,Pune,Appliance Repair,1,36,4.2
P0046,Pune,Appliance Repair,7,40,4.2
P0047,Pune,Appliance Repair,1,36,4.4
P0048,Pune,Appliance Repair,7,40,4.5
P0049,Mumbai,Cleaning,1,40,4.5
P0050,Mumbai,Cleaning,10,48,4.9
P0051,Mumbai,Cleaning,7,40,4.2
P0052,Mumbai,Cleaning,6,40,4.6
P0053,Mumbai,Salon,4,48,4.7
P0054,Mumbai,Salon,1,40,4.3
P0055,Mumbai,Salon,6,40,4.3
P0056,Mumbai,Salon,4,36,4.6
P0057,Mumbai,AC Repair,3,44,4.2
P0058,Mumbai,AC Repair,9,40,4.3
P0059,Mumbai,AC Repair,7,48,4.3
P0060,Mumbai,AC Repair,9,40,4.2
P0061,Mumbai,Plumbing,10,40,4.7
P0062,Mumbai,Plumbing,9,40,4.5
P0063,Mumbai,Plumbing,1,40,4.5
P0064,Mumbai,Plumbing,9,40,4.6
P0065,Mumbai,Electrician,3,44,4.6
P0066,Mumbai,Electrician,1,40,4.7
P0067,Mumbai,Electrician,6,40,3.9
P0068,Mumbai,Electrician,9,40,4.7
P0069,Mumbai,Appliance Repair,2,40,4.9
P0070,Mumbai,Appliance Repair,9,40,4.5
P0071,Mumbai,Appliance Repair,4,40,4.7
P0072,Mumbai,Appliance Repair,8,44,4.2
P0073,Bengaluru,Cleaning,1,40,4.6
P0074,Bengaluru,Cleaning,6,40,5.0
P0075,Bengaluru,Cleaning,6,48,4.6
P0076,Bengaluru,Cleaning,2,40,4.4
P0077,Bengaluru,Salon,1,40,4.0
P0078,Bengaluru,Salon,3,40,4.4
P0079,Bengaluru,Salon,1,36,4.4
P0080,Bengaluru,Salon,5,44,4.4
P0081,Bengaluru,AC Repair,9,48,4.6
P0082,Bengaluru,AC Repair,3,48,3.9
P0083,Bengaluru,AC Repair,4,40,4.7
P0084,Bengaluru,AC Repair,3,40,4.3
P0085,Bengaluru,Plumbing,9,40,4.1
P0086,Bengaluru,Plumbing,10,44,4.7
P0087,Bengaluru,Plumbing,1,44,4.5
P0088,Bengaluru,Plumbing,7,40,4.2
P0089,Bengaluru,Electrician,7,40,4.6
P0090,Bengaluru,Electrician,10,36,4.0
P0091,Bengaluru,Electrician,4,44,4.7
P0092,Bengaluru,Electrician,3,40,4.6
P0093,Bengaluru,Appliance Repair,2,36,4.3
P0094,Bengaluru,Appliance Repair,9,40,4.4
P0095,Bengaluru,Appliance Repair,6,40,4.3
P0096,Bengaluru,Appliance Repair,5,40,4.7
P0097,Delhi,Cleaning,5,40,4.4
P0098,Delhi,Cleaning,6,36,4.5
P0099,Delhi,Cleaning,4,40,4.2
P0100,Delhi,Cleaning,2,40,4.5
P0101,Delhi,Salon,3,44,4.3
P0102,Delhi,Salon,7,40,4.0
P0103,Delhi,Salon,10,48,4.5
P0104,Delhi,Salon,5,36,4.6
P0105,Delhi,AC Repair,10,40,4.5
P0106,Delhi,AC Repair,9,40,4.0
P0107,Delhi,AC Repair,5,40,4.9
P0108,Delhi,AC Repair,5,40,4.5
P0109,Delhi,Plumbing,7,36,4.1
P0110,Delhi,Plumbing,6,36,4.5
P0111,Delhi,Plumbing,5,36,4.6
P0112,Delhi,Plumbing,4,40,4.5
P0113,Delhi,Electrician,5,40,4.8
P0114,Delhi,Electrician,2,40,4.7
P0115,Delhi,Electrician,10,40,4.7
P0116,Delhi,Electrician,5,40,4.4
P0117,Delhi,Appliance Repair,8,48,4.7
P0118,Delhi,Appliance Repair,2,40,4.5
P0119,Delhi,Appliance Repair,1,40,4.6
P0120,Delhi,Appliance Repair,3,44,4.4
P0121,Hyderabad,Cleaning,8,48,4.5
P0122,Hyderabad,Cleaning,1,40,4.2
P0123,Hyderabad,Cleaning,10,40,4.1
