City,Primary_Service,Professionals,Avg_Utilization,Peak_Utilization,Total_Completed_Bookings,Total_Service_Hours,Peak_Bookings,Peak_Cancelled,Peak_Avg_Response,Peak_Cancellation_Rate_%,Capacity_Pressure_Score,Pressure_Level
Mumbai,Cleaning,4,36.943821225071225,88.125,945,1633.9333333333334,549,87,12.283606557377048,15.846994535519126,87.9288721669802,Critical
Mumbai,AC Repair,4,29.025489267676768,77.95833333333333,654,1300.9833333333333,411,78,12.557664233576642,18.97810218978102,84.70627841114651,Critical
Bengaluru,Cleaning,4,34.37995113168725,77.58333333333333,886,1546.15,513,77,12.407602339181286,15.009746588693956,82.4550093355137,Critical
Pune,Cleaning,4,28.797066177563863,61.898148148148145,718,1263.05,408,74,12.565441176470587,18.137254901960784,82.38460942628495,Critical
Mumbai,Appliance Repair,4,29.703876370543036,63.54166666666667,642,1279.75,391,67,12.568030690537086,17.135549872122763,81.21436853070466,Critical
Delhi,Cleaning,4,33.24462844254511,74.79166666666667,787,1379.95,457,65,12.546608315098469,14.22319474835886,79.03588976772654,Critical
Nagpur,Appliance Repair,4,21.1307060994561,54.9537037037037,454,905.9833333333333,292,61,12.315753424657533,20.89041095890411,78.59843053419193,Critical
Pune,AC Repair,4,24.712658772554605,54.50000000000001,551,1097.3,333,62,12.766066066066067,18.61861861861862,78.00886319251751,Critical
Nagpur,Cleaning,4,26.330597643097644,52.462121212121204,668,1145.8166666666666,371,65,12.567115902964959,17.52021563342318,77.56962731381097,Critical
Hyderabad,Cleaning,4,24.42029320987654,60.879629629629626,591,1051.2166666666667,346,62,12.464739884393063,17.91907514450867,75.938856633647,Critical
Nagpur,AC Repair,4,24.276880869473462,59.76851851851852,499,1003.1666666666666,332,59,12.481024096385541,17.771084337349397,75.39055396450988,Critical
Bengaluru,AC Repair,4,26.275972420069643,70.45833333333333,606,1215.9,346,56,12.397398843930636,16.184971098265898,74.29986601089811,High
Bengaluru,Appliance Repair,4,27.137441305265376,61.0,567,1129.7,330,51,12.454848484848487,15.454545454545453,73.7175515496564,High
Hyderabad,AC Repair,4,19.83415269144436,49.041666666666664,419,842.8166666666666,258,49,12.464728682170543,18.992248062015506,72.30052301454572,High
Mumbai,Salon,4,23.414625540782946,44.02777777777778,732,1018.5333333333333,432,72,12.610416666666666,16.666666666666664,71.58021185305057,High
Delhi,AC Repair,4,24.7090900997151,66.08333333333334,524,1046.8666666666668,309,48,12.343689320388348,15.53398058252427,70.62112917628824,High
Pune,Appliance Repair,4,26.42136059670782,58.98148148148148,539,1051.2666666666667,316,45,12.543037974683545,14.240506329113925,69.84267042624816,High
Nagpur,Plumbing,4,17.25382834757835,40.046296296296305,422,697.4666666666667,241,46,12.403734439834025,19.08713692946058,69.03540687868568,High
Delhi,Salon,4,19.78228948135198,37.708333333333336,612,848.3833333333333,380,67,12.411842105263158,17.63157894736842,68.97364756508982,High
Delhi,Plumbing,4,20.09366096866097,54.49074074074074,484,778.9,264,46,12.549621212121211,17.424242424242426,68.8988116226054,High
Bengaluru,Salon,4,22.16833068337698,44.074074074074076,697,951.2,399,64,12.587468671679197,16.040100250626566,68.39381778834677,High
Delhi,Appliance Repair,4,24.8441286080175,65.98484848484848,556,1106.35,304,43,12.61546052631579,14.144736842105262,67.47881596074767,High
Mumbai,Plumbing,4,21.40696225071225,56.54166666666667,567,916.6,356,57,12.419943820224718,16.01123595505618,67.29429192773799,High
Bengaluru,Plumbing,4,20.667136104636104,51.28787878787878,562,917.9666666666667,335,55,12.45641791044776,16.417910447761194,67.26635863309268,High
Pune,Plumbing,4,18.70650105038994,43.47222222222222,461,751.0666666666666,264,45,12.677651515151515,17.045454545454543,66.11481361068378,High
Pune,Electrician,4,15.688119172494172,47.75,513,683.5833333333333,313,57,12.3926517571885,18.210862619808307,64.81905395165728,High
Hyderabad,Salon,4,16.732622269705605,43.041666666666664,508,701.4833333333333,294,51,12.63673469387755,17.346938775510203,64.16493886078081,High
Mumbai,Electrician,4,19.81759906759907,44.91666666666666,649,868.8666666666667,397,60,12.5904282115869,15.113350125944585,62.99419958565325,High
Pune,Salon,4,17.439265038802077,43.708333333333336,542,741.8666666666667,335,55,12.66865671641791,16.417910447761194,62.897737631262615,High
Hyderabad,Appliance Repair,4,18.74403554778555,73.00925925925925,374,761.5166666666667,228,35,12.558771929824562,15.350877192982457,62.109739372234145,High
Hyderabad,Electrician,4,13.365112125528793,35.23148148148148,418,560.2,249,44,12.788755020080322,17.670682730923694,60.38219203388677,High
Nagpur,Salon,4,19.44235055924871,41.85185185185185,566,782.65,317,45,12.734384858044164,14.195583596214512,60.28971436419517,High
Delhi,Electrician,4,17.959074074074074,54.41666666666667,566,758.3666666666667,312,46,12.332692307692309,14.743589743589745,59.59385991102694,High
Bengaluru,Electrician,4,19.72917161285217,39.675925925925924,632,829.4333333333334,392,52,12.61658163265306,13.26530612244898,58.45133402518926,High
Nagpur,Electrician,4,14.323424145299146,38.87500000000001,469,618.1833333333334,263,41,12.776806083650191,15.5893536121673,56.69763572341889,High
Hyderabad,Plumbing,4,14.76878804066304,35.22727272727273,381,615.1333333333333,219,29,12.560730593607307,13.24200913242009,51.68215969189498,Moderate
