Professional_ID,Weeks_Active,Total_Service_Hours,Total_Bookings,Avg_Weekly_Utilization,Peak_Weekly_Utilization,City,Primary_Service,Experience_Years,Available_Hours_Per_Week,Professional_Base_Rating,Utilization_Category
P0001,27,291.3666666666667,195,24.525813692480362,54.734848484848484,Nagpur,Cleaning,7,44,4.5,Underutilized
P0002,27,305.16666666666663,201,28.25617283950617,52.33333333333333,Nagpur,Cleaning,5,40,4.2,Healthy
P0003,26,304.6,209,32.54273504273504,58.51851851851851,Nagpur,Cleaning,3,36,3.9,Healthy
P0004,27,313.5333333333333,211,26.39169472502806,51.09848484848485,Nagpur,Cleaning,8,44,4.3,Healthy
P0005,27,177.65,151,18.276748971193417,37.824074074074076,Nagpur,Salon,6,36,4.5,Underutilized
P0006,27,222.91666666666666,179,20.64043209876543,36.458333333333336,Nagpur,Salon,2,40,4.4,Underutilized
P0007,27,198.01666666666668,158,18.334876543209877,41.583333333333336,Nagpur,Salon,5,40,4.4,Underutilized
P0008,27,205.76666666666668,173,21.16941015089163,41.85185185185185,Nagpur,Salon,10,36,4.3,Underutilized
P0009,27,260.3833333333333,148,24.10956790123457,52.33333333333333,Nagpur,AC Repair,3,40,4.4,Underutilized
P0010,26,290.25,175,27.908653846153847,54.125,Nagpur,AC Repair,5,40,4.5,Healthy
P0011,26,271.51666666666665,158,26.1073717948718,64.41666666666667,Nagpur,AC Repair,5,40,3.9,Healthy
P0012,27,235.88333333333333,147,24.267832647462278,59.76851851851852,Nagpur,AC Repair,10,36,4.7,Underutilized
P0013,26,175.93333333333334,125,16.916666666666668,34.875,Nagpur,Plumbing,4,40,4.6,Underutilized
P0014,26,191.98333333333335,123,20.51103988603989,40.046296296296305,Nagpur,Plumbing,8,36,4.8,Underutilized
P0015,26,196.15,140,18.860576923076923,37.0,Nagpur,Plumbing,1,40,4.1,Underutilized
P0016,26,166.13333333333333,116,15.974358974358974,28.833333333333332,Nagpur,Plumbing,6,40,4.7,Underutilized
P0017,26,165.78333333333333,147,15.940705128205128,41.33333333333333,Nagpur,Electrician,4,40,4.6,Underutilized
P0018,26,162.61666666666667,130,15.636217948717949,43.291666666666664,Nagpur,Electrician,8,40,4.4,Underutilized
P0019,25,172.13333333333333,136,14.344444444444443,29.618055555555557,Nagpur,Electrician,9,48,4.5,Underutilized
P0020,26,155.0,147,14.903846153846153,28.333333333333332,Nagpur,Electrician,5,40,4.6,Underutilized
P0021,26,266.6666666666667,157,25.64102564102564,47.87499999999999,Nagpur,Appliance Repair,9,40,4.1,Healthy
P0022,26,201.66666666666666,132,21.545584045584047,54.9537037037037,Nagpur,Appliance Repair,1,36,4.4,Underutilized
P0023,27,227.43333333333334,129,19.14421997755331,49.31818181818181,Nagpur,Appliance Repair,9,44,4.5,Underutilized
P0024,27,259.7166666666667,143,21.861672278338943,41.96969696969697,Nagpur,Appliance Repair,3,44,4.6,Underutilized
P0025,26,310.75,203,24.899839743589745,44.96527777777777,Pune,Cleaning,5,48,4.6,Underutilized
P0026,27,342.5833333333333,225,31.720679012345677,56.708333333333336,Pune,Cleaning,9,40,4.5,Healthy
P0027,27,352.73333333333335,228,36.28943758573388,64.99999999999999,Pune,Cleaning,2,36,4.8,Healthy
P0028,26,309.4,206,27.045454545454543,50.643939393939384,Pune,Cleaning,5,44,4.1,Healthy
P0029,27,202.23333333333332,169,18.725308641975307,48.62499999999999,Pune,Salon,8,40,3.9,Underutilized
P0030,27,180.86666666666667,155,15.224466891133558,28.18181818181818,Pune,Salon,3,44,4.7,Underutilized
P0031,27,194.28333333333333,160,17.9891975308642,36.333333333333336,Pune,Salon,10,40,4.2,Underutilized
P0032,27,203.71666666666667,171,20.958504801097394,35.50925925925926,Pune,Salon,3,36,4.5,Underutilized
P0033,26,277.1333333333333,161,26.647435897435898,62.75000000000001,Pune,AC Repair,7,40,4.8,Healthy
P0034,27,285.45,162,26.430555555555557,50.16666666666667,Pune,AC Repair,5,40,4.5,Healthy
P0035,26,305.45,171,24.475160256410255,41.25,Pune,AC Repair,4,48,4.8,Underutilized
P0036,27,295.0833333333333,182,27.32253086419753,50.79166666666667,Pune,AC Repair,2,40,4.6,Healthy
P0037,27,198.75,145,20.44753086419753,55.97222222222222,Pune,Plumbing,9,36,4.0,Underutilized
P0038,26,180.45,120,15.773601398601398,32.68939393939394,Pune,Plumbing,4,44,4.3,Underutilized
P0039,27,223.01666666666668,149,22.944101508916326,40.601851851851855,Pune,Plumbing,10,36,4.6,Underutilized
P0040,26,198.08333333333334,137,19.04647435897436,36.16666666666667,Pune,Plumbing,1,40,4.3,Underutilized
P0041,26,190.81666666666666,168,16.679778554778554,31.51515151515152,Pune,Electrician,9,44,3.7,Underutilized
P0042,26,158.55,142,15.245192307692308,28.291666666666664,Pune,Electrician,5,40,4.5,Underutilized
P0043,26,200.38333333333333,168,19.267628205128208,47.75,Pune,Electrician,10,40,4.4,Underutilized
