
======================================================================
QUERY 1
======================================================================
total_bookings	completed_bookings	cancelled_bookings	rescheduled_bookings	completion_rate	cancellation_rate
25000	20761	3179	1060	83.04	12.72

======================================================================
QUERY 2
======================================================================
Service_Category	total_bookings	completed_bookings	cancelled_bookings	cancellation_rate	avg_response_time	avg_customer_rating
AC Repair	4025	3253	597	14.83	10.7	4.49
Salon	4388	3657	564	12.85	10.74	4.5
Cleaning	5501	4595	677	12.31	10.63	4.49
Electrician	3882	3247	473	12.18	10.75	4.49
Plumbing	3464	2877	418	12.07	10.65	4.5
Appliance Repair	3740	3132	450	12.03	10.76	4.49

QUERY 3 ERROR:
no such column: City

======================================================================
QUERY 4
======================================================================
Time_Slot	total_bookings	cancellations	cancellation_rate	avg_response_time
8-10 AM	2549	209	8.2	8.99
10-12 PM	3327	317	9.53	8.97
12-2 PM	3445	322	9.35	8.98
2-4 PM	3423	315	9.2	8.87
4-6 PM	4323	697	16.12	12.54
6-8 PM	5044	833	16.51	12.54
8-10 PM	2889	486	16.82	12.47

======================================================================
QUERY 5
======================================================================
Cancellation_Reason	cancellations	percentage_of_cancellations
Slot Not Available	1517	47.72
Long Response Time	717	22.55
Distance Too Far	503	15.82
Professional Unavailable	156	4.91
Customer Changed Mind	145	4.56
Price Too High	141	4.44

======================================================================
QUERY 6
======================================================================
response_time_bucket	bookings	cancellations	cancellation_rate
0-5 min	1059	81	7.65
5-10 min	9639	838	8.69
10-15 min	11802	1703	14.43
15-20 min	2440	536	21.97
20+ min	60	21	35.0

======================================================================
QUERY 7
======================================================================
demand_period	bookings	cancellations	cancellation_rate	avg_response_time
Non-Peak	12744	1163	9.13	8.95
Peak	12256	2016	16.45	12.52

QUERY 8 ERROR:
no such column: City

======================================================================
QUERY 9
======================================================================
Professional_ID	City	Primary_Service	Experience_Years	Available_Hours_Per_Week	bookings	completed_bookings	avg_customer_rating	avg_response_time
P0052	Mumbai	Cleaning	6	40	302	250	4.49	10.75
P0049	Mumbai	Cleaning	1	40	279	240	4.46	10.48
P0074	Bengaluru	Cleaning	6	40	274	231	4.48	10.76
P0076	Bengaluru	Cleaning	2	40	273	234	4.5	10.8
P0050	Mumbai	Cleaning	10	48	272	229	4.5	10.5
P0051	Mumbai	Cleaning	7	40	272	226	4.5	10.52
P0075	Bengaluru	Cleaning	6	48	259	213	4.48	10.52
P0073	Bengaluru	Cleaning	1	40	252	208	4.49	10.48
P0098	Delhi	Cleaning	6	36	243	211	4.52	10.94
P0099	Delhi	Cleaning	4	40	241	204	4.49	10.75
P0027	Pune	Cleaning	2	36	228	192	4.49	10.49
P0056	Mumbai	Salon	4	36	228	192	4.55	10.76
P0026	Pune	Cleaning	9	40	225	188	4.53	10.89
P0053	Mumbai	Salon	4	48	224	185	4.46	11.03
P0100	Delhi	Cleaning	2	40	223	186	4.46	10.84
P0078	Bengaluru	Salon	3	40	220	183	4.48	11.02
P0097	Delhi	Cleaning	5	40	220	186	4.5	10.45
P0054	Mumbai	Salon	1	40	216	178	4.51	10.36
P0055	Mumbai	Salon	6	40	213	177	4.5	10.68
P0080	Bengaluru	Salon	5	44	213	171	4.47	10.77
P0079	Bengaluru	Salon	1	36	212	182	4.48	10.51
P0090	Bengaluru	Electrician	10	36	212	176	4.49	10.95
P0004	Nagpur	Cleaning	8	44	211	173	4.5	10.82
P0057	Mumbai	AC Repair	3	44	211	160	4.51	10.61
P0003	Nagpur	Cleaning	3	36	209	166	4.48	10.61
P0072	Mumbai	Appliance Repair	8	44	209	177	4.5	10.94
P0101	Delhi	Salon	3	44	207	176	4.51	10.82
P0028	Pune	Cleaning	5	44	206	166	4.47	10.58
P0060	Mumbai	AC Repair	9	40	205	171	4.49	10.53
P0084	Bengaluru	AC Repair	3	40	204	163	4.49	10.4
